Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
468.00,7,1,Туда,11,0,11,12.2
473.54,7,2,Туда,22,2,22,34.4
479.11,7,3,Туда,15,8,15,42.2
489.56,8,4,Туда,24,12,24,55.6
500.66,8,5,Туда,20,27,20,47.8
512.91,8,6,Туда,34,16,34,67.8
522.91,8,7,Туда,22,25,22,64.4
531.56,8,8,Туда,25,25,25,64.4
540.36,9,9,Туда,7,27,7,42.2
551.36,9,10,Туда,6,38,6,6.7
556.56,9,10,Обратно,4,1,4,10.0
566.11,9,9,Обратно,0,2,0,7.8
572.51,9,8,Обратно,4,2,4,10.0
579.11,9,7,Обратно,5,2,5,13.3
586.96,9,6,Обратно,10,4,10,20.0
597.56,9,5,Обратно,0,10,0,8.9
607.36,10,4,Обратно,1,3,1,6.7
611.44,10,3,Обратно,1,2,1,5.6
615.26,10,2,Обратно,6,2,6,10.0
619.83,10,1,Обратно,3,9,3,3.3
627.02,10,1,Туда,4,0,4,7.8
631.42,10,2,Туда,5,1,5,12.2
635.39,10,3,Туда,5,3,5,14.4
639.80,10,4,Туда,1,4,1,11.1
644.11,10,5,Туда,1,5,1,6.7
648.59,10,6,Туда,0,2,0,4.4
652.15,10,7,Туда,0,1,0,3.3
655.13,10,8,Туда,4,1,4,6.7
658.43,10,9,Туда,3,2,3,7.8
662.65,11,10,Туда,4,7,4,4.4
666.20,11,10,Обратно,0,0,0,4.4
670.07,11,9,Обратно,3,1,3,6.7
673.35,11,8,Обратно,2,1,2,7.8
676.54,11,7,Обратно,7,2,7,13.3
680.31,11,6,Обратно,0,4,0,8.9
684.68,11,5,Обратно,8,4,8,13.3
689.26,11,4,Обратно,0,4,0,8.9
693.51,11,3,Обратно,6,3,6,12.2
697.60,11,2,Обратно,4,5,4,11.1
702.09,11,1,Обратно,0,10,0,0.0
747.02,12,1,Туда,9,0,9,10.0
751.54,12,2,Туда,4,2,4,12.2
755.67,12,3,Туда,0,3,0,8.9
759.87,12,4,Туда,1,2,1,7.8
763.89,12,5,Туда,1,3,1,5.6
768.22,12,6,Туда,10,1,10,15.6
772.13,12,7,Туда,1,5,1,11.1
775.46,12,8,Туда,2,4,2,8.9
778.74,12,9,Туда,0,3,0,5.6
782.91,13,10,Туда,0,5,0,0.0
