Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Пассажиров в салоне,Загруженность (%)
360.00,6,1,Туда,156,0,90,90,100.0
367.75,6,2,Туда,179,23,23,90,100.0
373.10,6,3,Туда,180,26,26,90,100.0
378.81,6,4,Туда,167,28,28,90,100.0
384.73,6,5,Туда,196,49,49,90,100.0
392.96,6,6,Туда,200,34,34,90,100.0
399.15,6,7,Туда,163,36,36,90,100.0
405.22,6,8,Туда,180,39,39,90,100.0
411.58,6,9,Туда,165,42,42,90,100.0
418.98,6,10,Туда,160,90,90,90,100.0
430.98,7,10,Обратно,83,20,20,90,100.0
437.88,7,9,Обратно,104,23,23,90,100.0
443.74,7,8,Обратно,111,26,26,90,100.0
449.83,7,7,Обратно,103,28,28,90,100.0
456.68,7,6,Обратно,132,31,31,90,100.0
464.71,7,5,Обратно,19,52,19,57,63.3
473.15,7,4,Обратно,65,23,56,90,100.0
481.92,8,3,Обратно,1,39,1,52,57.8
492.62,8,2,Обратно,32,24,32,60,66.7
505.32,8,1,Обратно,26,60,26,26,28.9
510.62,8,1,Туда,4,5,4,25,27.8
520.97,8,2,Туда,27,6,27,46,51.1
531.32,8,3,Туда,28,13,28,61,67.8
542.67,9,4,Туда,0,19,0,42,46.7
552.92,9,5,Туда,16,23,16,35,38.9
564.77,9,6,Туда,17,13,17,39,43.3
573.77,9,7,Туда,8,15,8,32,35.6
581.22,9,8,Туда,0,14,0,18,20.0
588.22,9,9,Туда,9,8,9,19,21.1
598.37,9,10,Туда,12,19,12,12,13.3
602.92,10,10,Обратно,3,2,3,13,14.4
607.00,10,9,Обратно,7,3,7,17,18.9
610.45,10,8,Обратно,0,4,0,13,14.4
613.65,10,7,Обратно,1,4,1,10,11.1
617.33,10,6,Обратно,1,3,1,8,8.9
621.74,10,5,Обратно,2,4,2,6,6.7
625.92,10,4,Обратно,0,2,0,4,4.4
629.87,10,3,Обратно,6,1,6,9,10.0
634.00,10,2,Обратно,4,4,4,9,10.0
638.48,10,1,Обратно,4,9,4,4,4.4
657.65,10,1,Туда,5,0,5,9,10.0
662.05,11,2,Туда,4,2,4,11,12.2
666.09,11,3,Туда,2,3,2,10,11.1
670.17,11,4,Туда,8,3,8,15,16.7
674.59,11,5,Туда,0,8,0,7,7.8
679.21,11,6,Туда,3,2,3,8,8.9
682.89,11,7,Туда,1,3,1,6,6.7
686.16,11,8,Туда,7,2,7,11,12.2
689.57,11,9,Туда,0,5,0,6,6.7
693.68,11,10,Туда,7,6,7,7,7.8
697.33,11,10,Обратно,1,1,1,7,7.8
701.35,11,9,Обратно,4,1,4,10,11.1
704.63,11,8,Обратно,0,2,0,8,8.9
707.68,11,7,Обратно,7,2,7,13,14.4
711.49,11,6,Обратно,2,4,2,11,12.2
715.99,11,5,Обратно,5,6,5,10,11.1
720.38,12,4,Обратно,2,4,2,8,8.9
724.64,12,3,Обратно,4,3,4,9,10.0
728.75,12,2,Обратно,1,4,1,6,6.7
733.18,12,1,Обратно,0,6,0,0,0.0
777.65,12,1,Туда,3,0,3,3,3.3
781.81,13,2,Туда,1,0,1,4,4.4
785.57,13,3,Туда,0,1,0,3,3.3
789.58,13,4,Туда,3,0,3,6,6.7
793.64,13,5,Туда,2,3,2,5,5.6
798.04,13,6,Туда,11,1,11,15,16.7
801.98,13,7,Туда,1,6,1,10,11.1
805.30,13,8,Туда,5,4,5,11,12.2
808.81,13,9,Туда,1,5,1,7,7.8
813.16,13,10,Туда,3,7,3,3,3.3
816.66,13,10,Обратно,1,0,1,4,4.4
820.78,13,9,Обратно,5,1,5,8,8.9
824.08,13,8,Обратно,0,2,0,6,6.7
827.18,13,7,Обратно,5,1,5,10,11.1
830.86,13,6,Обратно,0,3,0,7,7.8
835.18,13,5,Обратно,11,4,11,14,15.6
839.93,13,4,Обратно,3,5,3,12,13.3
